AÑO;MES;ID;GENERO;MUJERES;HOMBRES;OCUPACION2;RESPONSABLE;ESTAMENTO;Rango Edad;Rango Antiguedad
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO ESPECIALISTA;0;Técnicos;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;5. Entre 61 y 70 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;;0;Técnicos;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;Manager;1;Directivos;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;GESTOR;1;Mandos Medios;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;GESTOR;1;Mandos Medios;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ANALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;GESTOR;1;Mandos Medios;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ADMINISTRATIVO;0;Administrativos;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;GESTOR;1;Mandos Medios;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ANALISTA;0;Profesionales;4. Entre 51 y 60 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;TECNICO ESPECIALISTA;0;Técnicos;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO ESPECIALISTA;0;Técnicos;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO ESPECIALISTA;0;Técnicos;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO ESPECIALISTA;0;Técnicos;4. Entre 51 y 60 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO ESPECIALISTA;0;Técnicos;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;Manager;1;Directivos;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;Manager;1;Directivos;4. Entre 51 y 60 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;Manager;1;Directivos;4. Entre 51 y 60 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;Manager;1;Directivos;4. Entre 51 y 60 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;TECNICO ESPECIALISTA;0;Técnicos;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;TECNICO;0;Técnicos;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;TECNICO;0;Técnicos;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;4. Entre 51 y 60 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;1. Menor a 30 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;1. Menos de 3 años
2016;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;1. Menos de 3 años
